"Ref","Qty","Value","Description","MPN","MOUSER","LCSC"
"C1, C15, C16, C17","4","10uF","Unpolarized capacitor, small symbol","CL10A106MA8NRNC","187-CL10A106MA8NRNC","C2922482"
"C2, C18, C19","3","100nF","Unpolarized capacitor, small symbol","CL10B104KB8NNNC","187-CL10B104KB8NNNC","C1591"
"C3, C4, C12","3","100uF","Polarized capacitor","EEU-FM1E101","667-EEU-FM1E101","C1579509"
"C5, C6, C7, C8","4","10uF","Unpolarized capacitor","CL32A106KAJNNNE","187-CL32A106KAJNNNE","C66120"
"C9","1","470nF","Unpolarized capacitor","CL10A474KB8NNNC","187-CL10A474KB8NNNC","C170149"
"C10, C11","2","10nF","Unpolarized capacitor","CL10B103KB8NNNC","187-CL10B103KB8NNNC","C1589"
"C13","1","180uF","Polarized capacitor","16SVP180MX","667-16SVP180MX","C236288"
"C14","1","330uF","Polarized capacitor","16SVP330M","667-16SVP330M","C128487"
"D1, D2, D3, D4","4","SSB44-E3","Schottky diode","SSB44-E3/52T","625-SSB44-E3","C466999"
"D5","1","GREEN","Light emitting diode","150060VS75000","710-150060VS75000",""
"D6","1","BLUE","Light emitting diode","150060BS75000","710-150060BS75000",""
"F1","1","1A","Resettable fuse, polymeric positive temperature coefficient","72R050XPR","576-72R050XPR","C207122"
"F2","1","4A","Resettable fuse, polymeric positive temperature coefficient","RF3357-000","","C142903"
"J1","1","AUX1","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J2","1","AUX2","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J4","1","ESPFlash","Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J5","1","FRONT_PANEL","Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J6","1","DISPLAY","Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J8","1","PWR","DC Barrel Jack with an internal switch","PJ-102AH","490-PJ-102AH",""
"J9","1","BAT","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J16","1","CH_1","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J17","1","CH_2","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J18","1","CH_3","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J19","1","CH_4","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"L1, L2","2","15uH","Inductor with ferrite core","SRR1260-150M","652-SRR1260-150M","C2041333"
"Q1","1","DMG2301L-7","P-MOSFET transistor, gate/source/drain","DMG2301L-7","621-DMG2301L-7","C102619"
"R1, R3, R5, R7, R10, R11, R16, R17","8","10K","Resistor","RC0603FR-0710KL","603-RC0603FR-0710KL","C98220"
"R2","1","100K","Resistor","RC0603FR-07100KL","603-RC0603FR-07100KL","C14675"
"R4, R9","2","1K","Resistor","RC0603FR-071KL","603-RC0603FR-071KL","C22548"
"R6, R13","2","1.5K","Resistor","RC0603FR-071K5L","603-RC0603FR-071K5L","C114668"
"R8","1","3.24K","Resistor","RC0603FR-073K24L","603-RC0603FR-073K24L","C273779"
"R12, R14, R15","3","4.7K","Resistor","RC0603FR-074K7L","603-RC0603FR-074K7L","C99782"
"SW1","1","PWR_SW","Switch, dual pole double throw, separate symbols","EG2219","612-EG2219",""
"U1","1","ESP32-WROOM-32D","RF Module, ESP32-D0WD SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD","ESP32-WROOM-32D","",""
"U2, U3","2","TPS5430DDA","3A, Step Down Swift Converter, Adjustable Output Voltage, 5.5-36V Input Voltage, PowerSO-8","TPS5430DDAR","595-TPS5430DDAR","C9864"
"U4","1","LM2941","LM2941x 1-A Low Dropout Adjustable Regulator","LM2941SX/NOPB","926-LM2941SX/NOPB","C95046"
"U5","1","NCP1117-3.3","1A Low drop-out regulator, Fixed Output 3.3V, SOT-223","NCP1117LPST33T3G","863-NCP1117LPST33T3G","C146799"
"U6","1","Pico","","RASPBERRY PI PICO (UNSOLDERED)","713-102110537",""
"U7","1","MCP4728","12-bit digital to analog converter, quad output, 2.048V internal reference, integrated EEPROM, I2C interface","MCP4728-E/UN","579-MCP4728-E/UN","C108207"
"U8","1","ADS1015","Ultra-Small, Low-Power, I2C-Compatible, 3.3-kSPS, 12-Bit ADCs With Internal Reference, Oscillator, and Programmable Comparator, VSSOP-10","ADS1015IDGSR","595-ADS1015IDGSR","C193969"
